schedule_id	station_no	address	data	time
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:25:46
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:46
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:48
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:25:49
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:50
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:25:52
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:52
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:54
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:25:55
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:56
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:25:58
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:25:58
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:00
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:01
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:02
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:04
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:04
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:06
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:07
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:08
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:10
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:11
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:12
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:13
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:14
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:16
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:16
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:18
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:19
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:21
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:22
1	10	1522	\0\0\0\0\0\025	2015-06-03 14:26:23
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:24
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:25
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:26
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:28
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:28
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:30
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:31
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:32
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:34
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:34
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:36
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:37
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:38
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:40
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:40
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:42
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:44
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:44
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:46
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:46
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:48
1	10	1523	\0\0\0\0\0\014	2015-06-03 14:26:49
1	10	1522	\0\0\0\0\0\026	2015-06-03 14:26:50
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:00:50
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:00:50
2	10	1521	\0\0\0\0\0\025	2015-06-03 15:00:50
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:00:52
2	10	1521	\0\0\0\0\0\027	2015-06-03 15:00:52
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:00:53
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:00:54
2	10	1521	\0\0\0\0\0\029	2015-06-03 15:00:55
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:00:56
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:00:56
2	10	1521	\0\0\0\0\0\031	2015-06-03 15:00:56
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:00:58
2	10	1521	\0\0\0\0\0\033	2015-06-03 15:00:58
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:00:59
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:00
2	10	1521	\0\0\0\0\0\035	2015-06-03 15:01:00
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:01:02
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:02
2	10	1521	\0\0\0\0\0\037	2015-06-03 15:01:02
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:04
2	10	1521	\0\0\0\0\0\039	2015-06-03 15:01:04
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:01:05
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:06
2	10	1521	\0\0\0\0\0\041	2015-06-03 15:01:06
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:01:08
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:08
2	10	1521	\0\0\0\0\0\043	2015-06-03 15:01:08
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:10
2	10	1521	\0\0\0\0\0\045	2015-06-03 15:01:10
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:01:11
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:12
2	10	1521	\0\0\0\0\0\047	2015-06-03 15:01:12
2	10	1523	\0\0\0\0\0\015	2015-06-03 15:01:14
2	10	1522	\0\0\0\0\0\0\00	2015-06-03 15:01:14
